Timestamp,Age,Gender,Level of Education(Mention  Highest Degree completed),What languages do you speak fluently?(Mention all),Where are you from?(Mention State),Hobbies,"special skills (e.g. programming, dancing, math,
sports)",How satisfied are you with life?,1. Missing planned work due to smartphone use,"2. Having a hard time concentrating in class, while doing assignments, or while working due to smartphone use",3. Feeling pain in the wrists or at the back of the neck while using a smartphone,4. Won’t be able to stand not having a smartphone,5. Feeling impatient and fretful when I am not holding my smartphone,6. Having my smartphone in my mind even when I am not using it,7. I will never give up using my smartphone even when my daily life is already greatly affected by it,"8.  Constantly checking my smartphone so as not to miss conversations between other people on WhatsApp, Facebook, or Instagram",9. Using my smartphone longer than I had intended,10. The people around me tell me that I use my smartphone too much,addiction score,1. I am good at resisting temptation.,2. I have a hard time breaking bad habits.,3. I am lazy.,4. I say inappropriate things.,"5. I do certain things that are bad for me, if they are fun.",6. I refuse things that are bad for me.,7.  I wish I had more self-discipline.,8. People would say that 1 have iron self-discipline.,9.  Pleasure and fun sometimes keep me from getting work done.,10. I have trouble concentrating.,11.  I am able to work effectively toward long-term goals.,"12. Sometimes I can’t stop myself from doing something, even if I know it is wrong.",13. I often act without thinking through all the alternatives.,self control score,"Have you ever been diagnosed with any mental health conditions (e.g., depression, anxiety, ADHD)?( If yes, please specify)",How many hours per day do you typically spend using your smartphone?,Score,Email address
15-04-2024 15:05,20,Female,12,"English, Hindi, Bengali",West Bengal,Painting ,Painting,3,5,3,4,4,3,2,2,3,5,5,,2,4,5,4,3,4,5,1,3,4,2,2,2,,No,10 hrs,,
15-04-2024 16:58,20,Female,12,"English, Telugu, Hindi ",Andhra Pradesh ,Reading books,Painting,4,6,6,2,2,1,1,1,1,4,2,,3,2,2,2,2,3,5,3,4,4,4,2,4,,"Yes, anxiety ",3hrs,,
15-04-2024 18:04,21,Male,12,Hindi english ,Madhya Pradesh,Painting ,Math,3,1,2,1,1,1,1,1,1,3,1,,5,3,3,1,1,5,5,3,4,1,5,5,1,,No,2,,
15-04-2024 19:19,20,Female,12,English and hindi,Madhya Pradesh ,Reading books,Sports,4,6,6,4,4,2,3,4,5,6,5,,2,2,4,2,5,3,5,1,5,5,2,4,3,,No,8-9 hrs.,,
15-04-2024 20:48,22,Female,12,"English, hindi",Maharashtra ,Painting ,Sports,5,2,1,1,5,1,1,1,1,2,1,,4,3,2,2,3,4,5,3,3,1,5,1,4,,Nope,2- 3 hrs ,,
15-04-2024 23:57,22,Male,grad,Hindi,Madhya Pradesh ,Dancing ,Programing,3,4,4,4,3,4,3,3,4,4,4,,3,3,4,3,4,3,3,3,3,3,4,3,3,,No,no,,
16-04-2024 03:55,19,Male,12,English Telugu Hindi,Andhra Pradesh ,Music,Sports,3,5,6,2,5,3,6,4,6,4,6,,2,4,5,4,3,3,5,3,5,4,2,4,3,,No,6 to 7 hrs,,
16-04-2024 07:13,19,Male,12,"Telugu,Hindi,English",Telangana ,Watching movies ,Programing,4,6,5,2,3,2,4,5,5,5,3,,2,1,3,2,3,3,4,3,4,4,4,4,3,,No,8,,
16-04-2024 08:32,18,Female,12,Telugu English ,Andhra Pradesh ,Watching movies ,Sports,3,2,3,5,6,5,3,3,6,5,3,,1,5,4,4,4,2,4,2,2,3,2,4,5,,No,10,,
16-04-2024 08:40,19,Male,12,"telugu ,hindi,english",Telangana ,Chess,Programing,3,4,1,1,3,6,1,4,1,6,3,,3,3,5,4,3,3,4,3,3,5,2,3,4,,no,6 hours,,
16-04-2024 10:01,20,Male,12,"Telugu, English",Andhra Pradesh ,Watching movies ,Math,5,5,2,1,3,1,3,2,4,5,4,,3,2,4,4,2,4,5,2,4,2,2,4,3,,No,5-6 hours,,
16-04-2024 10:42,21,Male,12,"English, Hindi, Gujarati, Bengali",Bihar,Watching movies ,Programing,3,4,4,1,3,2,1,4,6,5,6,,1,1,3,4,4,3,4,1,4,4,3,4,4,,No,4.5,,
16-04-2024 10:56,20,Female,12,"Hindi, English",Uttar Pradesh ,Watching movies ,Programing,5,3,2,1,1,1,1,1,3,4,2,,4,2,4,1,1,2,3,2,1,2,4,2,2,,No,7 hours,,
16-04-2024 11:00,18,Male,12,Telugu ,Andhra Pradesh ,Playing cricket,Sports,3,1,3,5,5,3,3,3,4,6,4,,1,5,5,2,3,3,5,3,4,1,2,2,3,,No,4,,
16-04-2024 11:28,21,Female,12,"Bengali, English,  Hindi",West Bengal ,Dancing ,Math,3,5,3,5,5,4,4,2,4,5,5,,2,5,4,2,4,3,5,3,5,4,3,4,4,,No,4 hr,,
16-04-2024 11:51,18,Male,12,Gujarati,Maharashtra,Volleyball,Dancing ,4,2,4,3,2,4,2,3,3,5,3,,2,4,3,2,3,3,2,4,2,3,3,3,3,,No,5,,
16-04-2024 11:59,21,Female,12,"Hindi, english, gujarati",Gujarat,Painting ,Math,3,3,4,1,5,5,5,3,2,4,3,,3,2,4,1,2,3,5,2,2,4,4,3,4,,No,03-Apr,,
16-04-2024 13:01,20,Male,12,English ,Telangana ,Watching movies ,Sports,5,2,2,1,1,1,1,1,1,1,1,,5,5,1,1,1,5,5,5,5,1,3,1,3,,"Yes, have been addicted to betting nd gambling but gone out through my beautiful parents support! ✌️",3,,
16-04-2024 13:15,20,Male,12,Hindi,Bihar,Trading,Math,4,2,4,1,3,1,1,1,3,6,4,,2,3,2,5,4,4,4,3,2,4,4,4,3,,No,7,,
16-04-2024 13:24,23,Male,12,"Hindi, English",Bihar,Listening Music,NA,1,6,6,2,5,4,3,5,6,6,4,,2,4,4,2,4,4,5,3,5,5,1,4,4,,No,5,,
16-04-2024 13:24,21,Male,12,Hindi,Uttar Pradesh ,Travelling,Teaching ,4,5,3,2,2,3,2,2,5,5,3,,3,3,2,2,2,5,5,4,5,3,4,3,3,,no,4-5 hours,,
16-04-2024 13:28,20,Male,12,"English, Hindi, Telugu ",Uttar Pradesh ,Painting ,Programing,5,3,3,3,3,3,3,4,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,,Mo,2 hrs,,
16-04-2024 13:29,21,Male,12,"Bengali,English,Hindi",West Bengal ,Photography ,Programing,1,5,3,2,5,4,4,5,5,5,3,,4,4,4,3,2,5,4,4,4,2,3,1,3,,No,5,,
16-04-2024 13:33,21,Male,12,English,Kerala,Reading books,Sports,5,3,3,1,2,1,1,1,2,4,1,,2,2,4,1,1,5,5,2,5,4,4,1,3,,Nil,3hrs,,
16-04-2024 13:34,20,Male,12,Hindi,Rajasthan,Reading books,Programing,5,5,5,2,2,2,1,1,3,5,2,,3,2,3,5,2,4,2,3,2,2,3,2,1,,No,4,,
